# Momemtum(GeV/c) Total_Energy(GeV) Kinetic_Energy(GeV) Range(m)
5.000000 5.001117 4.895417 9.552000
5.250000 5.251064 5.145364 10.006000
5.512500 5.513513 5.407813 10.482000
5.788125 5.789090 5.683390 10.979000
6.077531 6.078450 5.972750 11.498000
6.381408 6.382283 6.276583 12.042000
6.700478 6.701312 6.595612 12.611000
7.035502 7.036296 6.930596 13.206000
7.387277 7.388033 7.282333 13.829000
7.756641 7.757361 7.651661 14.480000
8.144473 8.145159 8.039459 15.161000
8.551697 8.552350 8.446650 15.874000
8.979282 8.979904 8.874204 16.619000
9.428246 9.428838 9.323138 17.399000
9.899658 9.900222 9.794522 18.215000
10.394641 10.395178 10.289478 19.068000
10.914373 10.914885 10.809185 19.961000
11.460092 11.460579 11.354879 20.895000
12.033096 12.033560 11.927860 21.872000
12.634751 12.635193 12.529493 22.895000
13.266489 13.266910 13.161210 23.964000
13.929813 13.930214 13.824514 25.083000
14.626304 14.626686 14.520986 26.253000
15.357619 15.357983 15.252283 27.477000
16.125500 16.125846 16.020146 28.758000
16.931775 16.932105 16.826405 30.098000
17.778363 17.778678 17.672978 31.500000
18.667282 18.667581 18.561881 32.966000
19.600646 19.600931 19.495231 34.500000
20.580678 20.580949 20.475249 36.104000
21.609712 21.609970 21.504270 37.782000
22.690197 22.690444 22.584744 39.537000
23.824707 23.824942 23.719242 41.373000
25.015943 25.016166 24.910466 43.293000
26.266740 26.266953 26.161253 45.301000
27.580077 27.580279 27.474579 47.400000
28.959081 28.959274 28.853574 49.596000
30.407035 30.407218 30.301518 51.892000
31.927386 31.927561 31.821861 54.293000
33.523756 33.523922 33.418222 56.802000
35.199944 35.200102 35.094402 59.426000
36.959941 36.960092 36.854392 62.168000
38.807938 38.808082 38.702382 65.034000
40.748335 40.748472 40.642772 68.029000
42.785751 42.785882 42.680182 71.158000
44.925039 44.925163 44.819463 74.428000
47.171291 47.171409 47.065709 77.845000
49.529855 49.529968 49.424268 81.414000
52.006348 52.006456 51.900756 85.142000
54.606666 54.606768 54.501068 89.036000
57.336999 57.337096 57.231396 93.101000
60.203849 60.203942 60.098242 97.345000
63.214041 63.214130 63.108430 101.775000
66.374743 66.374828 66.269128 106.399000
69.693481 69.693561 69.587861 111.224000
73.178155 73.178231 73.072531 116.258000
76.837062 76.837135 76.731435 121.508000
80.678915 80.678985 80.573285 126.984000
84.712861 84.712927 84.607227 132.694000
88.948504 88.948567 88.842867 138.645000
93.395929 93.395989 93.290289 144.848000
98.065726 98.065783 97.960083 151.310000
102.969012 102.969066 102.863366 158.041000
108.117463 108.117515 108.011815 165.051000
113.523336 113.523385 113.417685 172.349000
119.199503 119.199550 119.093850 179.945000
125.159478 125.159523 125.053823 187.847000
131.417452 131.417494 131.311794 196.067000
137.988324 137.988365 137.882665 204.613000
144.887741 144.887779 144.782079 213.497000
152.132128 152.132164 152.026464 222.726000
159.738734 159.738769 159.633069 232.311000
167.725671 167.725704 167.620004 242.262000
176.111954 176.111986 176.006286 252.588000
184.917552 184.917582 184.811882 263.299000
194.163430 194.163458 194.057758 274.407000
203.871601 203.871629 203.765929 285.919000
214.065181 214.065207 213.959507 297.848000
224.768440 224.768465 224.662765 310.202000
236.006862 236.006886 235.901186 322.992000
247.807205 247.807228 247.701528 336.225000
260.197566 260.197587 260.091887 349.911000
273.207444 273.207464 273.101764 364.059000
286.867816 286.867836 286.762136 378.677000
301.211207 301.211225 301.105525 393.774000
316.271767 316.271785 316.166085 409.354000
332.085356 332.085372 331.979672 425.424000
348.689623 348.689639 348.583939 441.989000
366.124105 366.124120 366.018420 459.056000
384.430310 384.430324 384.324624 476.628000
403.651825 403.651839 403.546139 494.712000
423.834417 423.834430 423.728730 513.311000
445.026137 445.026150 444.920450 532.428000
467.277444 467.277456 467.171756 552.065000
490.641316 490.641328 490.535628 572.223000
515.173382 515.173393 515.067693 592.902000
540.932051 540.932062 540.826362 614.110000
567.978654 567.978664 567.872964 635.847000
596.377587 596.377596 596.271896 658.112000
626.196466 626.196475 626.090775 680.901000
657.506289 657.506298 657.400598 704.214000
690.381604 690.381612 690.275912 728.048000
724.900684 724.900692 724.794992 752.396000
761.145718 761.145725 761.040025 777.254000
799.203004 799.203011 799.097311 802.619000
839.163154 839.163161 839.057461 828.484000
881.121312 881.121318 881.015618 854.842000
925.177377 925.177384 925.071684 881.687000
971.436246 971.436252 971.330552 909.009000
1020.008059 1020.008064 1019.902364 936.801000
1071.008462 1071.008467 1070.902767 965.063000
1124.558885 1124.558890 1124.453190 993.790000
1180.786829 1180.786834 1180.681134 1022.974000
1239.826170 1239.826175 1239.720475 1052.606000
1301.817479 1301.817483 1301.711783 1082.674000
1366.908353 1366.908357 1366.802657 1113.168000
1435.253770 1435.253774 1435.148074 1144.079000
1507.016459 1507.016463 1506.910763 1175.391000
1582.367282 1582.367285 1582.261585 1207.094000
1661.485646 1661.485649 1661.379949 1239.179000
1744.559928 1744.559932 1744.454232 1271.635000
1831.787925 1831.787928 1831.682228 1304.449000
1923.377321 1923.377324 1923.271624 1337.610000
2019.546187 2019.546190 2019.440490 1371.109000
2120.523496 2120.523499 2120.417799 1404.939000
2226.549671 2226.549674 2226.443974 1439.093000
2337.877155 2337.877157 2337.771457 1473.560000
2454.771013 2454.771015 2454.665315 1508.332000
2577.509563 2577.509565 2577.403865 1543.397000
2706.385041 2706.385043 2706.279343 1578.742000
2841.704293 2841.704295 2841.598595 1614.357000
2983.789508 2983.789510 2983.683810 1650.233000
3132.978983 3132.978985 3132.873285 1686.355000
3289.627933 3289.627934 3289.522234 1722.708000
3454.109329 3454.109331 3454.003631 1759.282000
3626.814796 3626.814797 3626.709097 1796.068000
3808.155535 3808.155537 3808.049837 1833.052000
3998.563312 3998.563314 3998.457614 1870.229000
4198.491478 4198.491479 4198.385779 1907.589000
4408.416052 4408.416053 4408.310353 1945.126000
4628.836854 4628.836856 4628.731156 1982.832000
4860.278697 4860.278698 4860.172998 2020.687000
5103.292632 5103.292633 5103.186933 2058.686000
5358.457264 5358.457265 5358.351565 2096.842000
5626.380127 5626.380128 5626.274428 2135.150000
5907.699133 5907.699134 5907.593434 2173.598000
6203.084090 6203.084091 6202.978391 2212.179000
6513.238294 6513.238295 6513.132595 2250.880000
6838.900209 6838.900210 6838.794510 2289.697000
7180.845219 7180.845220 7180.739520 2328.623000
7539.887480 7539.887481 7539.781781 2367.649000
7916.881854 7916.881855 7916.776155 2406.768000
8312.725947 8312.725948 8312.620248 2445.976000
8728.362244 8728.362245 8728.256545 2485.266000
9164.780357 9164.780357 9164.674657 2524.634000
9623.019374 9623.019375 9622.913675 2564.070000
10104.170343 10104.170344 10104.064644 2603.571000
10609.378860 10609.378861 10609.273161 2643.138000
11139.847803 11139.847804 11139.742104 2682.771000
11696.840193 11696.840194 11696.734494 2722.468000
12281.682203 12281.682204 12281.576504 2762.224000
12895.766313 12895.766314 12895.660614 2802.033000
13540.554629 13540.554629 13540.448929 2841.891000
14217.582360 14217.582361 14217.476661 2881.795000
14928.461478 14928.461479 14928.355779 2921.739000
15674.884552 15674.884553 15674.778853 2961.718000
16458.628780 16458.628780 16458.523080 3001.731000
17281.560219 17281.560219 17281.454519 3041.776000
18145.638230 18145.638230 18145.532530 3081.847000
19052.920141 19052.920142 19052.814442 3121.940000
20005.566148 20005.566149 20005.460449 3162.055000
21005.844456 21005.844456 21005.738756 3202.193000
22056.136679 22056.136679 22056.030979 3242.357000
23158.943513 23158.943513 23158.837813 3282.545000
24316.890688 24316.890688 24316.784988 3322.757000
25532.735223 25532.735223 25532.629523 3362.989000
26809.371984 26809.371984 26809.266284 3403.230000
28149.840583 28149.840583 28149.734883 3443.477000
29557.332612 29557.332612 29557.226912 3483.731000
31035.199243 31035.199243 31035.093543 3523.990000
32586.959205 32586.959205 32586.853505 3564.255000
34216.307165 34216.307165 34216.201465 3604.525000
35927.122523 35927.122523 35927.016823 3644.799000
37723.478649 37723.478650 37723.372950 3685.070000
39609.652582 39609.652582 39609.546882 3725.338000
41590.135211 41590.135211 41590.029511 3765.603000
43669.641972 43669.641972 43669.536272 3805.864000
45853.124070 45853.124070 45853.018370 3846.122000
48145.780274 48145.780274 48145.674574 3886.370000
50553.069287 50553.069287 50552.963587 3926.608000
53080.722752 53080.722752 53080.617052 3966.835000
55734.758889 55734.758889 55734.653189 4007.053000
58521.496834 58521.496834 58521.391134 4047.268000
61447.571676 61447.571676 61447.465976 4087.481000
64519.950259 64519.950259 64519.844559 4127.682000
67745.947772 67745.947772 67745.842072 4167.871000
71133.245161 71133.245161 71133.139461 4208.047000
74689.907419 74689.907419 74689.801719 4248.209000
78424.402790 78424.402790 78424.297090 4288.355000
82345.622929 82345.622929 82345.517229 4328.488000
86462.904076 86462.904076 86462.798376 4368.607000
90786.049280 90786.049280 90785.943580 4408.713000
95325.351744 95325.351744 95325.246044 4448.804000
100091.619331 100091.619331 100091.513631 4488.880000
105096.200297 105096.200297 105096.094597 4528.955000
110351.010312 110351.010312 110350.904612 4569.042000
115868.560828 115868.560828 115868.455128 4609.140000
121661.988869 121661.988869 121661.883169 4649.250000
127745.088313 127745.088313 127744.982613 4689.370000
134132.342728 134132.342728 134132.237028 4729.500000
140838.959865 140838.959865 140838.854165 4769.640000
147880.907858 147880.907858 147880.802158 4809.789000
155274.953251 155274.953251 155274.847551 4849.948000
163038.700913 163038.700913 163038.595213 4890.115000
171190.635959 171190.635959 171190.530259 4930.291000
179750.167757 179750.167757 179750.062057 4970.475000
188737.676145 188737.676145 188737.570445 5010.667000
198174.559952 198174.559952 198174.454252 5050.866000
208083.287950 208083.287950 208083.182250 5091.072000
218487.452347 218487.452347 218487.346647 5131.286000
229411.824964 229411.824964 229411.719264 5171.506000
240882.416213 240882.416213 240882.310513 5211.733000
252926.537023 252926.537023 252926.431323 5251.965999
265572.863874 265572.863874 265572.758174 5292.204999
278851.507068 278851.507068 278851.401368 5332.450999
292794.082422 292794.082422 292793.976722 5372.703999
307433.786543 307433.786543 307433.680843 5412.961999
322805.475870 322805.475870 322805.370170 5453.225999
